N,n_point,distance_mean,distance_std,time_mean_ms,time_std_ms,feasible_rate
1,2,163.68261972488102,2.995911226518785e-14,15.260624885559082,2.5237844260674946,1.0
2,3,206.9110773357129,0.0,12.037873268127441,3.087217098871714,1.0
3,4,238.05964097463794,2.995911226518785e-14,32.95180797576904,2.902608187464851,1.0
4,5,249.43382978862851,2.320622857404618e-14,47.22177982330322,5.237385536881654,1.0
5,6,271.7494652480596,5.99182245303757e-14,121.40295505523682,47.350984765543025,1.0
6,7,327.26648947683515,5.99182245303757e-14,175.05462169647217,79.83039214369582,1.0
7,8,265.24445884641267,5.99182245303757e-14,111.86649799346924,10.826403861390823,1.0
8,9,305.84363118073486,5.684341886080802e-14,196.08802795410156,27.663298839495255,1.0
9,10,342.8524787445834,5.359248925640619e-14,544.9425220489502,105.84680334066822,1.0
10,11,297.391534219542,5.99182245303757e-14,657.1254968643188,79.94681715593666,1.0
