experiment,method,best_energy,success_prob,cbf_best,T_us,reads,tts_s
TSP1_resultALL,BO,163.6826197,1,0,20,250,0.000678736
TSP1_resultALL,Random,163.6826197,1,0,21.7364027,250,0.000678736
TSP1_resultALL,Greedy,163.6826197,1,0,20,250,0.000194936
TSP2_resultALL,BO,206.9110773,1,0,20,250,0.000678736
TSP2_resultALL,Random,206.9110773,0.917,0,30.96358869,250,0.000678736
TSP2_resultALL,Greedy,206.9110773,0.952,0,20,250,0.000194936
TSP3_resultALL,BO,238.059641,0.76,0,20,250,0.000678736
TSP3_resultALL,Random,238.059641,0.615384615,0,34.46629183,250,0.000678736
TSP3_resultALL,Greedy,238.059641,0.6230,0,20,250,0.000194936
TSP4_resultALL,BO,249.4338298,0.689189189,0,20,250,0.000678736
TSP4_resultALL,Random,249.4338298,0.5875,0,22.74214875,250,0.000678736
TSP4_resultALL,Greedy,249.4338298,0.590361446,0,20.9358869,250,0.000194936
TSP5_resultALL,BO,271.7494652,0.344074074,0,20,250,0.000678736
TSP5_resultALL,Random,271.7494652,0.267857143,0,332.4955679,283,0.000678736
TSP5_resultALL,Greedy,271.7494652,0.327272727,0,194.9358869,250,0.000194936
TSP6_resultALL,BO,327.2664895,0.044117647,0.014854922,56.2918316,250,0.000678736
TSP6_resultALL,Random,327.2664895,0.027624309,0.015334311,1700.361842,269,0.001700362
TSP6_resultALL,Greedy,327.2664895,0.040816327,0.015156062,194.9358869,250,0.000194936
TSP7_resultALL,BO,265.2444588,0.009836066,0.000512295,21.62345897,306,8.57E-05
TSP7_resultALL,Random,265.2444588,0.005847953,0.000411184,48.52567248,343,0.000111083
TSP7_resultALL,Greedy,265.2444588,0.005865103,0.015156062,194.9358869,343,0.000444929


