N,n_point,best_energy_mean,best_energy_std,feasible_rate,route_cost_mean,route_cost_std,success_rate_mean,success_rate_std,time_mean_ms,time_std_ms
0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,16.553282737731934,0.49654682490019086
1,2,163.68261972488105,0.0,0.0,0.0,0.0,0.0,0.0,52.279019355773926,0.5605331439232348
2,3,206.91107733571297,2.995911226518785e-14,1.0,163.68261972488102,2.995911226518785e-14,0.16069999999999998,0.0124190713555134,203.11169624328613,0.7719341500162727
3,4,238.0596409746372,0.0,1.0,228.59089227481564,5.99182245303757e-14,0.09835,0.00801058327741772,308.6353063583374,2.522258027767394
4,5,249.4338297886443,0.0,1.0,229.1161228907459,0.0,0.08965000000000001,0.005000277770062158,469.78957653045654,2.7330181790324826
5,6,312.4939317038388,0.0,1.0,275.8352065458839,0.0,0.0399,0.00438304815295373,702.7609825134277,5.119323578471476
6,7,329.52007582092847,0.0,1.0,265.53319053566594,5.99182245303757e-14,0.047299999999999995,0.004289522117905443,844.1495895385742,12.97192805620834
7,8,265.40286096553393,1.637765778110053e-11,1.0,261.079920899677,1.0026236665091766e-13,0.035350000000000006,0.0057689301916001344,1325.1734256744385,8.292583251349448
8,9,308.46405632658133,2.677219418343999,1.0,286.6143521506381,1.671127814359509,0.047599999999999996,0.004659518334668414,1510.3441715240479,5.667249144437434
9,10,385.1448737823892,9.236861374566072,1.0,343.87681622807264,20.605135005744845,0.04154999999999999,0.00527283394179807,2265.111756324768,11.09737179236538
